location,activity,date,change,value,source,roll
Greater London,Grocery & pharmacy,08/05/2020,-27,73,Google,52
Greater London,Retail & recreation,09/05/2020,-80,20,Google,44.71428571
Greater London,Grocery & pharmacy,09/05/2020,-30,70,Google,51.42857143
Greater London,Retail & recreation,10/05/2020,-83,17,Google,43.42857143
Greater London,Grocery & pharmacy,10/05/2020,-41,59,Google,48.28571429
Greater London,Retail & recreation,11/05/2020,-75,25,Google,40.71428571
Greater London,Grocery & pharmacy,11/05/2020,-28,72,Google,48
Greater London,Retail & recreation,12/05/2020,-75,25,Google,41.14285714
Greater London,Grocery & pharmacy,12/05/2020,-27,73,Google,48.71428571
Greater London,Retail & recreation,13/05/2020,-77,23,Google,42
Greater London,Grocery & pharmacy,13/05/2020,-29,71,Google,49.71428571
Greater London,Retail & recreation,14/05/2020,-75,25,Google,44.85714286
Greater London,Grocery & pharmacy,14/05/2020,-26,74,Google,51.85714286
Greater London,Retail & recreation,15/05/2020,-75,25,Google,45.14285714
Greater London,Grocery & pharmacy,15/05/2020,-24,76,Google,52.42857143
Greater London,Retail & recreation,16/05/2020,-78,22,Google,45.14285714
Greater London,Grocery & pharmacy,16/05/2020,-28,72,Google,52.14285714
Greater London,Retail & recreation,17/05/2020,-77,23,Google,45.28571429
Greater London,Grocery & pharmacy,17/05/2020,-31,69,Google,51.57142857
Greater London,Retail & recreation,18/05/2020,-70,30,Google,45.28571429
Greater London,Grocery & pharmacy,18/05/2020,-22,78,Google,52.85714286
Greater London,Retail & recreation,19/05/2020,-71,29,Google,46.14285714
Greater London,Grocery & pharmacy,19/05/2020,-21,79,Google,54.28571429
Greater London,Retail & recreation,20/05/2020,-72,28,Google,48
Greater London,Grocery & pharmacy,20/05/2020,-19,81,Google,56.28571429
Greater London,Retail & recreation,21/05/2020,-72,28,Google,50.42857143
Greater London,Grocery & pharmacy,21/05/2020,-19,81,Google,57.71428571
Greater London,Retail & recreation,22/05/2020,-73,27,Google,50.42857143
Greater London,Grocery & pharmacy,22/05/2020,-19,81,Google,57.85714286
Greater London,Retail & recreation,23/05/2020,-76,24,Google,50
Greater London,Grocery & pharmacy,23/05/2020,-24,76,Google,56.85714286
Greater London,Retail & recreation,24/05/2020,-74,26,Google,49
Greater London,Grocery & pharmacy,24/05/2020,-28,72,Google,55.28571429
Greater London,Retail & recreation,25/05/2020,-70,30,Google,48
Greater London,Grocery & pharmacy,25/05/2020,-23,77,Google,55.14285714
Greater London,Retail & recreation,26/05/2020,-70,30,Google,47.85714286
Greater London,Grocery & pharmacy,26/05/2020,-19,81,Google,56
Greater London,Retail & recreation,27/05/2020,-71,29,Google,49.28571429
Greater London,Grocery & pharmacy,27/05/2020,-20,80,Google,57
Greater London,Retail & recreation,28/05/2020,-70,30,Google,51
Greater London,Grocery & pharmacy,28/05/2020,-18,82,Google,58.42857143
Greater London,Retail & recreation,29/05/2020,-71,29,Google,51.57142857
Greater London,Grocery & pharmacy,29/05/2020,-16,84,Google,59.28571429
Greater London,Retail & recreation,30/05/2020,-74,26,Google,51.42857143
Greater London,Grocery & pharmacy,30/05/2020,-20,80,Google,58.71428571
Greater London,Retail & recreation,31/05/2020,-73,27,Google,51.14285714
Greater London,Grocery & pharmacy,31/05/2020,-25,75,Google,57.57142857
Greater London,Retail & recreation,01/06/2020,-65,35,Google,50.85714286
Greater London,Grocery & pharmacy,01/06/2020,-16,84,Google,58.71428571
Greater London,Retail & recreation,02/06/2020,-68,32,Google,51.28571429
Greater London,Grocery & pharmacy,02/06/2020,-18,82,Google,59.28571429
Greater London,Retail & recreation,03/06/2020,-71,29,Google,52
Greater London,Grocery & pharmacy,03/06/2020,-23,77,Google,59.14285714
Greater London,Retail & recreation,04/06/2020,-70,30,Google,52.71428571
Greater London,Grocery & pharmacy,04/06/2020,-21,79,Google,59
Greater London,Retail & recreation,05/06/2020,-71,29,Google,51.14285714
Greater London,Grocery & pharmacy,05/06/2020,-20,80,Google,58
Greater London,Retail & recreation,06/06/2020,-75,25,Google,49.85714286
Greater London,Grocery & pharmacy,06/06/2020,-27,73,Google,56.14285714
Greater London,Retail & recreation,07/06/2020,-72,28,Google,49.14285714
Greater London,Grocery & pharmacy,07/06/2020,-27,73,Google,55.28571429
Greater London,Retail & recreation,08/06/2020,-65,35,Google,49
Greater London,Grocery & pharmacy,08/06/2020,-19,81,Google,56.42857143
Greater London,Retail & recreation,09/06/2020,-67,33,Google,49.71428571
Greater London,Grocery & pharmacy,09/06/2020,-20,80,Google,57.57142857
Greater London,Retail & recreation,10/06/2020,-71,29,Google,51.28571429
Greater London,Grocery & pharmacy,10/06/2020,-25,75,Google,58
Greater London,Retail & recreation,11/06/2020,-68,32,Google,52.14285714
Greater London,Grocery & pharmacy,11/06/2020,-21,79,Google,58.42857143
Greater London,Retail & recreation,12/06/2020,-69,31,Google,51.28571429
Greater London,Grocery & pharmacy,12/06/2020,-19,81,Google,58.14285714
Greater London,Retail & recreation,13/06/2020,-69,31,Google,51.14285714
Greater London,Grocery & pharmacy,13/06/2020,-18,82,Google,58.71428571
Greater London,Retail & recreation,14/06/2020,-68,32,Google,52.57142857
Greater London,Grocery & pharmacy,14/06/2020,-23,77,Google,59
Greater London,Retail & recreation,15/06/2020,-55,45,Google,54.14285714
Greater London,Grocery & pharmacy,15/06/2020,-16,84,Google,61.71428571
Greater London,Retail & recreation,16/06/2020,-59,41,Google,56
Greater London,Grocery & pharmacy,16/06/2020,-16,84,Google,63.57142857
